Sketch Map , BaseId , SketchId , GenId , Generalization Type
JK_Sketch_1.jpg,70,S18,g.70,No generalization
JK_Sketch_1.jpg,8,S21,g.8,No generalization
JK_Sketch_1.jpg,Features missing in sketch map,"4,6,9,10,11,12,13,19,20,21,22,23,24,25,27,28,29,31,36,37,39,40,41,42,45,46,47,49,50,51,52,56,57,58,59,60,61,62,63,64,66,67,72,74,75,76,78"
JK_Sketch_1.jpg,Features drawn extra in sketch map, S13
   
CM_Sketch_8.jpg,25,S0,g.25,No generalization
CM_Sketch_8.jpg,3 5,S2,g.3.5,OmissionMerge
CM_Sketch_8.jpg,6,S3,g.6,No generalization
CM_Sketch_8.jpg,7,S4,g.7,No generalization
CM_Sketch_8.jpg,2,S1,g.2,No generalization
CM_Sketch_8.jpg,8,S6,g.8,No generalization
CM_Sketch_8.jpg,0,S7,g.0,No generalization
CM_Sketch_8.jpg,16,S8,g.16,No generalization
CM_Sketch_8.jpg,17,S9,g.17,No generalization
CM_Sketch_8.jpg,38,S10,g.38,No generalization
CM_Sketch_8.jpg,47,S14,g.47,No generalization
CM_Sketch_8.jpg,46,S15,g.46,No generalization
CM_Sketch_8.jpg,26,S16,g.26,No generalization
CM_Sketch_8.jpg,39,S17,g.39,No generalization
CM_Sketch_8.jpg,40 41,S21,g.40.41,OmissionMerge
CM_Sketch_8.jpg,42,S23,g.42,No generalization
CM_Sketch_8.jpg,43,S22,g.43,No generalization
CM_Sketch_8.jpg,44,S24,g.44,No generalization
CM_Sketch_8.jpg,32,S28,g.32,No generalization
CM_Sketch_8.jpg,33,S27,g.33,No generalization
CM_Sketch_8.jpg,34 35 45,S29,g.34.35.45,OmissionMerge
CM_Sketch_8.jpg,9,S30,g.9,No generalization
CM_Sketch_8.jpg,53,S31,g.53,No generalization
CM_Sketch_8.jpg,48,S32,g.48,No generalization
CM_Sketch_8.jpg,49,S33,g.49,No generalization
CM_Sketch_8.jpg,67,S34,g.67,No generalization
CM_Sketch_8.jpg,73,S35,g.73,No generalization
CM_Sketch_8.jpg,74,S36,g.74,No generalization
CM_Sketch_8.jpg,76,S37,g.76,No generalization
CM_Sketch_8.jpg,55,S38,g.55,No generalization
CM_Sketch_8.jpg,57,S39,g.57,No generalization
CM_Sketch_8.jpg,58,S40,g.58,No generalization
CM_Sketch_8.jpg,11,S41,g.11,No generalization
CM_Sketch_8.jpg,59,S43,g.59,No generalization
CM_Sketch_8.jpg,61,S44,g.61,No generalization
CM_Sketch_8.jpg,63,S45,g.63,No generalization
CM_Sketch_8.jpg,64,S46,g.64,No generalization
CM_Sketch_8.jpg,66,S47,g.66,No generalization
CM_Sketch_8.jpg,65,S48,g.65,No generalization
CM_Sketch_8.jpg,Features missing in sketch map,"4,10,12,13,15,19,20,21,22,23,24,27,28,29,30,31,36,37,50,51,52,56,60,62,70,72,75,78"
CM_Sketch_8.jpg,Features drawn extra in sketch map, S50,S51,S49
   
CM_Sketch_4.jpg,2,S0,g.2,No generalization
CM_Sketch_4.jpg,0,S1,g.0,No generalization
CM_Sketch_4.jpg,8,S2,g.8,No generalization
CM_Sketch_4.jpg,9,S3,g.9,No generalization
CM_Sketch_4.jpg,11,S4,g.11,No generalization
CM_Sketch_4.jpg,16,S5,g.16,No generalization
CM_Sketch_4.jpg,48,S6,g.48,No generalization
CM_Sketch_4.jpg,49 50 51 52,S7 S8,g.49.50.51.52,Abstraction to show existence
CM_Sketch_4.jpg,17,S9,g.17,No generalization
CM_Sketch_4.jpg,67,S10,g.67,No generalization
CM_Sketch_4.jpg,38,S11,g.38,No generalization
