### Folder: Loc0,,,,,,,,
CanScore,CanOrg,CanAcc,ScaBias,DistAcc,RotBias,AngAcc,ID,
119,0.02,0.04,0,1,-1.82,1,CM_Sketch_8.png,
588,0.1,0.22,0,0.99,0.46,0.96,CM_Sketch_9.png,
324,0.06,0.06,0,0.99,-12.19,0.99,JK_Sketch_1.png,
0,0,0,0,1,0,1,JK_Sketch_10.png,
1197,0.21,0.33,0.01,0.97,-17.15,0.96,JK_Sketch_2.png,
0,0,0,0,1,0,1,JK_Sketch_3.png,
0,0,0,0,1,0,1,JK_Sketch_4.png,
555,0.1,0.15,0.02,0.97,-13.29,0.96,JK_Sketch_5.png,
4076,0.71,0.88,-0.04,0.92,-7.14,0.9,JK_Sketch_6.png,
2367,0.41,0.41,0.02,0.96,-10.46,0.94,JK_Sketch_7.png,
63,0.01,0.02,0,0.99,2.75,0.98,JK_Sketch_8.png,
128,0.02,0.05,0,1,-27.47,0.99,JK_Sketch_9.png,
788.6333333,0.137,0.181,-0.000333333,0.979,-11.01033333,0.967333333,,
,,,,,,,,
### Folder: Loc5,,,,,,,,
CanScore,CanOrg,CanAcc,ScaBias,DistAcc,RotBias,AngAcc,ID,
113,0.01,0.88,0.11,0.89,-11.08,0.91,AS_Sketch_1.png,
1062,0.06,0.07,0,1,-14.9,0.99,AS_Sketch_10.png,
0,0,0,0,1,0,1,AS_Sketch_2.png,
119,0.01,0.15,0,0.99,6.53,0.99,AS_Sketch_3.png,
115,0.01,0.01,0,1,-9.16,1,AS_Sketch_4.png,
0,0,0,0,1,0,1,AS_Sketch_5.png,
4503,0.26,0.29,0.13,0.76,-13.93,0.69,AS_Sketch_6.png,
63,0,0,0,1,26.02,1,AS_Sketch_7.png,
8982,0.52,0.52,0.01,0.96,-16.81,0.94,AS_Sketch_8.png,
0,0,0,0,1,0,1,AS_Sketch_9.png,
113,0.01,0.88,0.11,0.89,-9.58,0.92,CM_Sketch_1.png,
710,0.04,0.05,0,1,-9.23,1,CM_Sketch_10.png,
0,0,0,0,1,0,1,CM_Sketch_2.png,
341,0.02,0.27,0,0.95,-8.35,0.96,CM_Sketch_3.png,
8565,0.49,0.49,-0.09,0.83,6.31,0.64,CM_Sketch_4.png,
6817,0.39,0.39,0.14,0.78,-11.17,0.66,CM_Sketch_5.png,
0,0,0,0,1,0,1,CM_Sketch_6.png,
0,0,0,0,1,0,1,CM_Sketch_7.png,
8797,0.51,0.51,0.03,0.96,-12.33,0.94,CM_Sketch_8.png,
5259,0.3,0.39,0.18,0.68,-14.32,0.58,CM_Sketch_9.png,
113,0.01,0.88,0.09,0.9,-9.45,0.92,JK_Sketch_1.png,
708,0.04,0.05,0,0.99,-13.21,1,JK_Sketch_10.png,
6886,0.4,0.4,0.16,0.76,-8.36,0.66,JK_Sketch_2.png,
128,0.01,0.1,0,0.99,6.11,1,JK_Sketch_3.png,
7102,0.41,0.41,-0.17,0.78,-10.36,0.67,JK_Sketch_4.png,
6955,0.4,0.4,0.05,0.8,-6.98,0.66,JK_Sketch_5.png,
0,0,0,0,1,0,1,JK_Sketch_6.png,
5259,0.3,0.3,0.14,0.75,-14.19,0.68,JK_Sketch_7.png,
8805,0.51,0.51,0.03,0.95,-12.49,0.94,JK_Sketch_8.png,
5259,0.3,0.39,0.19,0.68,-14.07,0.58,JK_Sketch_9.png,
2892.466667,0.167,0.278,0.037,0.909666667,-5.833333333,0.877666667,,
