Source,Target,Actual(N/S),Actual(E/W),Observed(N/S),Observed(E/W),Actual D,Actual D ratio,Actual Angle,Observed D,Observed D ratio,Observed Angle,O-A Distance Ratio,O-A Angle,ABS(O-A) Distance Ratio, ABS(O-A) Angle
30_52,26_75,N,E,S,E,436.165106353087,0.570591333790684,-91.5765500551837,361.001385038894,0.630880321960766,-89.8412863352815,0.060288988170082,1.73526371990221,0.060288988170082,1.73526371990221
30_52,26_76,N,E,N,E,446.017936859046,0.583480809858624,-102.166533775466,363.209306048179,0.634738849863786,-96.3227713209335,0.051258040005162,5.8437624545325,0.051258040005162,5.8437624545325
30_52,26_77,N,E,N,E,508.759275099727,0.665559048922484,-100.647327710378,422.895968294804,0.739046318631135,-95.4274868839249,0.073487269708651,5.21984082645309,0.073487269708651,5.21984082645309
30_52,26_78,N,E,N,E,570.793307599169,0.746711990385933,-99.4788244482125,482.660336054248,0.843489584326078,-94.7537835043966,0.096777593940145,4.72504094381591,0.096777593940145,4.72504094381591
30_52,26_79,N,E,S,E,563.127871801778,0.736684064786173,-91.2210395451636,481.001039499916,0.840589823860304,-89.8808821268931,0.103905759074131,1.34015741827051,0.103905759074131,1.34015741827051
30_53,29_56,N,E,N,E,146.239529539725,0.19131060004017,-116.389835272173,77.0584193972339,0.134666077344487,-92.2311746080313,-0.056644522695683,24.1586606641417,0.056644522695683,24.1586606641417
30_53,29_57,N,E,N,E,87.783825389419,0.114838828885246,-137.7702157972,33.1360830515618,0.0579080956762414,-95.1944289077348,-0.0569307332090046,42.5757868894652,0.0569307332090046,42.5757868894652
30_53,29_58,N,W,N,W,66.4906008395172,0.0869830256133591,167.845058302778,11.4017542509914,0.0199255257483513,105.255118703058,-0.0670574998650078,-62.58993959972,0.0670574998650078,62.58993959972
30_53,29_59,N,W,N,W,129.757466066504,0.169748759251387,173.806095032849,18.6010752377383,0.0325069454609888,143.746162262555,-0.137241813790398,-30.059932770294,0.137241813790398,30.059932770294
30_53,29_60,N,W,N,W,194.504498662627,0.254450848322455,175.872408297488,30.0832179129826,0.0525729567506052,158.552263672895,-0.20187789157185,-17.320144624593,0.20187789157185,17.320144624593
30_53,29_61,N,E,N,E,202.773272400482,0.265268060811884,-163.084239916101,43.2781700167648,0.075632246760238,-130.314100160497,-0.189635814051646,32.770139755604,0.189635814051646,32.770139755604
30_53,29_62,N,E,N,E,234.087590444261,0.306233461847155,-145.970506471373,81.9328993750374,0.143184641608324,-109.9831065219,-0.163048820238831,35.987399949473,0.163048820238831,35.987399949473
30_53,29_63,N,E,N,E,183.853202310974,0.240516818975848,-134.559271927239,78.4474346298207,0.137093498438864,-101.023455963743,-0.103423320536984,33.535815963496,0.103423320536984,33.535815963496
30_53,27_64,N,E,N,E,252.001984119173,0.329669077470988,-112.39250193705,132.034086507992,0.230740685377103,-91.3019526725789,-0.098928392093885,21.0905492644711,0.098928392093885,21.0905492644711
30_53,27_65,N,E,N,E,211.983489923154,0.277316870366378,-116.927677851041,112.040171367238,0.195799634888068,-91.5343414997008,-0.08151723547831,25.3933363513402,0.08151723547831,25.3933363513402
30_53,27_66,N,E,N,E,173.066461222271,0.226405600780243,-123.69006752598,92.0489000477464,0.160863204699339,-91.8676788394342,-0.065542396080904,31.8223886865458,0.065542396080904,31.8223886865458
30_53,27_67,N,E,N,E,198.070694450239,0.259116146810053,-133.363422958383,93.7443331620637,0.163826116846915,-101.070202577939,-0.095290029963138,32.293220380444,0.095290029963138,32.293220380444
30_53,27_68,N,E,N,E,228.177562437677,0.298501961289457,-140.869600443015,97.7394495585073,0.170807919197029,-109.732689499661,-0.127694042092428,31.136910943354,0.127694042092428,31.136910943354
30_53,27_69,N,E,N,E,258.940147524481,0.338745585091219,-133.122122552715,116.760438505514,0.204048699227851,-106.417232830435,-0.134696885863368,26.70488972228,0.134696885863368,26.70488972228
30_53,27_70,N,E,N,E,292.605536516314,0.382786657904324,-127.222362109871,136.062485645383,0.237780652119916,-104.036243467926,-0.145006005784408,23.186118641945,0.145006005784408,23.186118641945
30_53,27_71,N,E,N,E,269.786952983275,0.352935379515285,-120.271724190785,133.221619867047,0.232815999929757,-97.7651660184253,-0.120119379585528,22.5065581723597,0.120119379585528,22.5065581723597
30_53,26_72,S,E,S,E,535.594062700475,0.7006643267773,-82.490186841374,469.880835957373,0.821156331685661,-84.8718089581472,0.120492004908361,-2.3816221167732,0.120492004908361,2.3816221167732
30_53,26_73,S,E,S,E,473.206086182331,0.619048355633629,-81.4931824678686,410.156067857102,0.716782269729995,-84.1226073933569,0.097733914096366,-2.62942492548829,0.097733914096366,2.62942492548829
30_53,26_74,S,E,S,E,410.019511730844,0.536387658414187,-80.1701076653626,350.525320055485,0.612572516164111,-83.1182763693631,0.076184857749924,-2.94816870400051,0.076184857749924,2.94816870400051
30_53,26_75,N,E,S,E,404.178178530212,0.528746024423947,-91.7013546053261,348.001436778643,0.608161817589884,-89.8353574085925,0.0794157931659369,1.8659971967336,0.0794157931659369,1.8659971967336
30_53,26_76,N,E,N,E,414.791513895837,0.542630393196302,-103.098150794719,350.291307342903,0.612163559241576,-96.5569464981634,0.0695331660452739,6.54120429655561,0.0695331660452739,6.54120429655561
30_53,26_77,N,E,N,E,477.346834073507,0.624465283369716,-101.357011986443,409.956095210207,0.716432800688918,-95.5993393365206,0.0919675173192021,5.7576726499224,0.0919675173192021,5.7576726499224
30_53,26_78,N,E,N,E,539.255968905306,0.70545483366379,-100.038754199338,469.706291207601,0.82085130003621,-94.8852025681173,0.11539646637242,5.15355163122071,0.11539646637242,5.15355163122071
30_53,26_79,N,E,S,E,531.135575912591,0.694831732913344,-91.2945995181643,468.001068374849,0.817871279531231,-89.8775733070199,0.123039546617887,1.4170262111444,0.123039546617887,1.4170262111444
30_54,29_56,N,E,N,E,119.268604418766,0.156027227037199,-123.023867555797,64.0702739185654,0.111968199328388,-92.683775159469,-0.044059027708811,30.340092396328,0.044059027708811,30.340092396328
30_54,29_57,N,E,N,E,70.774289116882,0.0925869480090824,-156.695109460797,20.2237484161567,0.0353427034931288,-98.5307656099481,-0.0572442445159536,58.1643438508489,0.0572442445159536,58.1643438508489
30_54,29_58,N,W,N,W,79.0569415042095,0.10342231655226,145.304846468766,24.1867732448956,0.0422684231260991,97.1250163489018,-0.0611538934261609,-48.1798301198642,0.0611538934261609,48.1798301198642
30_54,29_59,N,W,N,W,136.623570440828,0.178730999223881,160.769327624339,28.3019433961698,0.0494600295230647,122.005383208084,-0.129270969700816,-38.763944416255,0.129270969700816,38.763944416255
30_54,29_60,N,W,N,W,199.150696709803,0.260529006116782,166.940690974175,36.8781778291715,0.0644477214393165,139.398705354996,-0.196081284677465,-27.541985619179,0.196081284677465,27.541985619179
30_54,29_61,N,E,N,E,196.010203816026,0.256420612293161,-171.787219810714,34.4093010681705,0.0601331513838749,-144.462322208026,-0.196287460909286,27.324897602688,0.196287460909286,27.324897602688
30_54,29_62,N,E,N,E,218.256729564062,0.285523524502063,-152.730528011542,69.8569967862919,0.122080984866581,-113.629377730657,-0.163442539635482,39.101150280885,0.163442539635482,39.101150280885
30_54,29_63,N,E,N,E,163.220709470337,0.213525385140618,-142.217379159029,65.7343137181792,0.114876249014742,-103.190610712207,-0.098649136125876,39.026768446822,0.098649136125876,39.026768446822
30_54,27_64,N,E,N,E,223.651514638287,0.292580984088306,-115.419288338903,119.037809119624,0.208028596163977,-91.4441255309358,-0.084552387924329,23.9751628079672,0.084552387924329,23.9751628079672
30_54,27_65,N,E,N,E,184.878338374186,0.24185790230669,-121.28265368164,99.0454441153151,0.173090254668925,-91.7357045889284,-0.068767647637765,29.5469490927116,0.068767647637765,29.5469490927116
30_54,27_66,N,E,N,E,148.273396130257,0.193971304974472,-130.349815150114,79.0569415042095,0.138158663031267,-92.17474411461,-0.055812641943205,38.175071035504,0.055812641943205,38.175071035504
30_54,27_67,N,E,N,E,176.819116613561,0.231314825781932,-140.277406082907,81.0246875958186,0.141597465039402,-102.835609486401,-0.08971736074253,37.441796596506,0.08971736074253,37.441796596506
30_54,27_68,N,E,N,E,209.995238041247,0.274715838608714,-147.445103196732,85.615419172016,0.14962015507566,-112.671343621981,-0.125095683533054,34.773759574751,0.125095683533054,34.773759574751
30_54,27_69,N,E,N,E,237.261459154242,0.310385517924375,-138.246133686993,104.355162785557,0.182369435201272,-108.434948822922,-0.128016082723103,29.811184864071,0.128016082723103,29.811184864071
30_54,27_70,N,E,N,E,268.575873823395,0.351351045364991,-131.226062307665,123.490890352285,0.215810730632729,-105.499275376501,-0.135540314732262,25.726786931164,0.135540314732262,25.726786931164
